name,review,reviewer_stats,ratings_given,review_like,language,neg,neu,pos,compound,sentiment
Ken Ryu,"Hobbes states philosophy provides recommendations optimal political structure countries ""Leviathan"". He begins breakdown human body 5 senses observe navigate life. He continues describing various emotions humans feel impact actions. He expands scope describe individuals function groups, warfare government create societal structures. He takes closer look governmental systems classifies three major types: monarchy, aristocracy democracy. His book written mid-17 century England verge civil war. Opposition groups challenging monarchical rule pushing democratic rights elections. Hobbes fell squarely side monarchical system goes describe structure advantages rule. In particular, approves agility cohesiveness single ruler model. He takes massive digression religion especially Christianity. Interestingly question literal view bible spends many chapters defending interpreting text. He tries square religious doctrine rule law. In order priority, puts religious guidelines government. He speaks much Roman Catholic faith takes time define importance Christian nation follow pope's lead incorporates legal social structure adhere Christianity's rules. He concludes book contrasting philosophy Greeks particularly Aristotle. He claims offer superior path imbued teachings bible Christianity. The book takes large leaps moves one major theme next. The biblical interpretations self-serving make divided work. The first half mostly philosophy vein Decartes Aristotle, second half biblical interpretations. He tries please England, Vatican Bible absolute faith strict biblical interpretation makes arguments lack important challenges contradictory embellishments bible religious scholars laymen struggle with. The book dry, established importance due strength Hobbes intellect ambitious attempt incorporate Christianity philosophy. Today much arguments fall flat. During life, ""Leviathan"" would captivated many fellow Christian countrymen provided guideline faith allegiance state king.","443 reviews
3 followers",Rating 4 out of 5,None,en,0.0,0.981,0.019,0.6808,positive
Stephen,"This classic foundational work political philosophy, perhaps first cogently argue concept social contract become staple much political philosophy ever since. The basic premise work people, nature, find state war one another unless create kind commonwealth (monarchy otherwise) establishes absolute sovereign. I aware background reading work, I surprised nevertheless. Firstly, work written English Civil War, book actually remarkably easy going. Yes flowery 17th century expression, archaic word endings ""he forgeteth"" like. Yet author gift expressing ideas manner dense modern reader would need help interpreting it. It clearly argued. I also surprised much Christian theology discussed Hobbes went this. For writer villified Christians (he attacked ""atheist"" Anglicans French Catholics alike, Jonathan Edwards, Massachusetts Puritan spends much time pulling arguments apart) actually able reason interesting arguments scripture. On one hand, whether angels corporeal beings seems much medieval schoolman fascination little modern relevance, views transubstantiation reasoning much relevant contemporary debate. Also reasoning authorship books Old Testament would much show many engaged modern debate. So lots fascinating stuff there. Having said that, I disagree Hobbes many things, I felt treatise much reflect context written, leaps jumps reasoning I would take exception to. On basic question social contract: I find social contract gaping hole it. Someone born political state cannot really said assented social contract places absolute sovereign them, cannot practically choose dissent it. Neither I wholly agree state war would exist without sovereign. But then, book review treatise, I end saying fascinating book someone evidently extremely clever, well read, great ability communicate ideas. It deserves place foundational work philosophy, ""Ph"" word put people reading it. I really liked it.","1,037 reviews
13 followers",Rating 4 out of 5,None,en,0.09,0.712,0.199,0.9633,positive
Benjamin Redwood,"I picked Arendt’s origins totalitarianism, traced origins western totalitarian thought back hobbes’s philosophy. Having flicked Descartes Hume, seeing disagreeing several turns too, I interested see fuss about. I also surprised see day job! Obviously there’s lot disagree Hobbes’s thought, lot outraged about, like reviewers pointed out, alone doesn’t deserve low rating, make bad book - wrong one. Hobbes methodical though sometimes laboured writer. His ideas idiosyncratic, better grasped extracts summaries could find shorter books. I wouldn’t recommend whole book interested readers, maybe books one two. (The third book bloated, 200-page discourse bible I struggle think anyone Hobbes scholar would need read - don’t.) If you’re going pick Leviathan, sense personality behind ideas. His arguments authoritarianism democracy hard stomach, I interested find seem come place terror rather cynicism. But blind idiot either - traces modern, progressive thought here, hatred inquisitions punishing people thoughts beliefs, people cannot help this. However ideas cherry-picked elsewhere, it’s interesting see original mix, struggle behind peace prosperity - even sometimes baffling conclusions. It’s interesting think evil political ideas circulation come well-meaning, sometimes droning, cautious, perhaps shivering man - would pay violent price, appease monarch, prevent violent civil war witnessed fled from. Hobbes air wilting teacher, reading like stuck house old eccentric - would leave anecdotes strange ideas tell friends, strange enough make experience memorable stimulating - you’d struggle find space calendar visit again. He’s naive disconnected. He’s another old racist. He’s something easy target result. His dread leaves strange mixture sympathy equal dread - world, - you’ve put book down. And yet he’s still interesting - quite spite himself!","43 reviews
1 follower",Rating 4 out of 5,None,en,0.104,0.762,0.135,0.8253,positive
Gerardo,"Il testo è molto chiaro, ciononostante ci vuole molta pazienza per leggerlo tutto: non mi riferisco alla sua considerevole mole, tuttavia non più lunga di molti altri testi, per il fatto che il suo argomentare procede per accumulo e molto spesso ci si ritrova di fronte veri e propria elenchi. E' un testo notevole, perché cerca di distaccarsi dalla tradizione classica per fondare un modo di ragionare moderno, aprendo la strada alla filosofia successiva. Uno dei primi punti di interesse, dal punto di vista metodologico, è quello di partire da una riflessione sull'uomo e sul linguaggio: prima bisogna comprendere la natura del soggetto che pensa e acquisisce conoscenze, poi analizzare il come queste conoscenze possano essere espresse e condivise attraverso il linguaggio. In sostanza, il testo viene aperto da una riflessione sul come l'uomo conosca il mondo. Successivamente, si entra nel vivo del discorso e si parla dello Stato: lo Stato è una struttura sorta dall'accordo di uomini che sacrificando parte della propria libertà, la cedono un capo un'assemblea per essere difesi e amministrati. Infatti, ogni uomo, se non controllati da una terza parte (le Leggi e il Governo), faranno sempre prevalere la legge del più forte nei contenziosi due. Il Sovrano, poiché fonda la legge, non è soggetto ad essa: per questo, il suddito non può far altro che obbedire al sovrano, perché altrimenti metterebbe crisi il Governo e l'assenza di Governo, secondo Hobbes, è ben peggiore di qualsiasi altro stato di cose. L'ultima parte, quella più lunga, è una approfondita e logorroica disamina sul perché la Chiesa e il Papa non possano considerarsi al di sopra dei regnanti: sostanza, Hobbes afferma che tutti passi della Bibbia danno agli apostoli un ruolo di consiglieri, non di governanti, poiché questo ruolo spetta ad altri. Lo stesso Gesù non è un regnante di questa terra, poiché il suo regno ""non è di questo mondo"". L'ultimo capitolo, per tale motivo, è una critica al modo di governare della Chiesa, messa al pari del mondo delle Fate e dei Demoni, che pervertono la verità le sacre scritture. Per tutti coloro che vogliono andare alle origini del pensiero politico moderno.","477 reviews
21 followers",Rating 4 out of 5,None,it,0.007,0.984,0.009,0.128,positive
Dean,"Recensione: http://thereadingpal.blogspot.it/2017... Il Leviatano è un testo che mi ha sempre attirato, non avevo particolare voglia di leggerlo. Filosofia non è proprio il mio ambito. Eppure... Hobbes si concentra sulla Politica e, particolare, nello Stato. Divide quindi il suo testo quattro sezioni: 1) Dell'Uomo, 2) Dello Stato, 3) Di uno Stato Cristiano e 4) Del Regno delle Tenebre. Per quanto mi riguarda, ho trovato piuttosto interessanti la prima e la seconda parte, mentre il mio interesse è abbastanza crollato sulla terza parte. In Dell'Uomo Hobbes si cimenta nella descrizione delle caratteristiche umana, come sensi, l'immaginazione, la parola. Inoltre parla anche di ragione e scienza, come anche di religione, nonché delle altre caratteristiche umane come le passioni. In questa prima parte ci chiarisce le leggi di Natura e le cause del naturale conflitto che c'è tra uomo e uomo. Interessante, no? Anche la seconda parte non delude: Hobbes ci parla di come si viene creare uno Stato, di cosa porta gli uomini ad abbandonare le loro caratteristiche naturali che li portano al conflitto, aderendo ad un patto con altri uomini, il cui fine primo sono la pace (che sostituisce la guerra dell'uomo natura) e la sicurezza. Ci parla quindi della figura del Sovrano e tutto ciò che riguarda lo Stato e sudditi. Questa è la parte che più mi interessava, personalmente. La terza parte, invece... Hobbes ci parla dello Stato Cristiano, e così facendo ci parla di Dio e tira fuori spezzoni dei testi sacri cristiani, che compongono la maggior parte di questa sezione. Mi sembrava di essere tornata fare catechismo, che già mi annoiava da piccola, figuriamoci ora. Nella quarta parte ci parla del nostro mondo corrente, che secondo lui è nel periodo del Regno delle Tenebre e, continuare la sezione precedente, ci dice che il regno di Dio non è ancora venuto. Pur essendo un testo corposo (e questa versione ha dei caratteri minuscoli), è interessante e tutto sommato sono contenta di averlo letto. Anche il saggio di Galli è piuttosto interessante, e la traduzione, correlata di note, ottima.","375 reviews
14 followers",Rating 4 out of 5,None,it,0.102,0.715,0.183,0.9966,positive
Mamluk Qayser,"This book's scope, like title suggested massive. It one book started minutest detail microcosmos, Man, apex Man's reaches; book, Common-Wealth. Hobbes' main project book provide all-reaching argument supporting obedience authority according human reasoning. As grounded argument human reasoning, necessary wise start single unit-Man- define Man's passion natural rights. This Hobbes' embarked Part I book, titled Of Man. The second part, elaborated human passion, worked justify formation Sovereignty data amassed former part. He argued natural right Man protect preserve life, Man's natural condition, limits self-preservation almost close none. So, Man primordial anarchic state, enforce basic rights whatsoever means impunity thus, perpetual Warring state. Only formation Authority guarantee Man's natural rights Self-preservation Peace. By assenting formation Authority, Common-Wealth created, Leviathan, macro-image microcosmos, every subject's natural rights guaranteed. The third part elaborates formation Christian Common-Wealth. The fourth part essentially attack Hobbes' called ""Vain Philosophy"" ""darkness"" wrought. Being Renaissance man himself, understandable Hobbes peers developed degrees ambivalence (to put nicely) towards Scholastic metaphysics. I would categorise book World-building book reasons I mentioned above. I recall books rival Leviathan's scope, closest one Muqaddimah Ibnu Khaldun. Of course, certain ideas works severely outdated disproved, still bear witness Man's journey discovering exploring new frontiers.","190 reviews
12 followers",Rating 4 out of 5,None,en,0.117,0.704,0.179,0.8927,positive
Austin,"It's funny one thing everyone knows Leviathan Hobbes's description state nature: ""nasty, brutish, short."" It's one argument support larger point, not--as seem think--a statement pessimism. Instead, Hobbes talking necessity sovereign government, particularly monarchy. well-known much else, probably much market among contemporary readers rest book. Hobbes argues length superiority monarchies, even extent monarch head church. And he's avowed empiricist materialist, writing book that's mostly Biblical interpretation; yet Biblical interpretation tries hard orthodox. So get argument Jesus healing, casting demons, spiritual demons meaning (everything physical--even light comprises particles exerting pressure eyes). And according normally accept true kinds things reported Bible, good empiricists need extraordinary proofs extraordinary claims, but: turns accept Bible authority sovereign, head church. I wondered Hobbes talking when, among many criticisms Aristotle, suggests Aristotle might held (plainly absurd) views potentiality actuality attempt avoid conflict religious authorities day. interesting artifact time. In read thoughts brilliant man age, sometimes ahead time (he's one earliest proponents annihilationism), often thinking ways convenient political situation.","104 reviews
1 follower",Rating 3 out of 5,None,en,0.192,0.634,0.175,-0.4167,negative
Gabriel Dametto,"Apesar de filósofo inglês Thomas Hobbes ter escrito Leviatã em meados séc. XVII, é impressionante como muitos conceitos e paradigmas se mantém relevantes até hoje, mesmo tendo em mente que sua teoria de um Estado centralizado e absoluto tenha sido eventualmente superada pelo liberalismo político-filosófico. O livro aborda natureza humana e relações sociais de maneira mecanicista e nominalista, valendo-se, também, de argumentos teístas-cristãos e da lógica física-empirista cartesiana, sob uma ótica contratualista, muito comum entre os pensadores da época. O filósofo disserta sobre Estado de natureza, que seria uma condição de guerra civil permanente de todos contra todos (Bellum omnia omnes) devido condição natural humana, advinda da igualdade e não seguimento das leis naturais. A fim de acabar com conflito, homem decide formar sociedade por meio de um pacto social, em que ele abdica da sua liberdade em prol de uma forma de poder soberana - um monarca ou uma assembleia -, com poderes totalitários. O Estado, ou Leviatã, autoridade inquestionável, por meio poder coercitivo da espada, e medo que dela decorre, pode, enfim, assegurar direito à propriedade e instituir leis civis, por exemplo, e, dessa forma, assegurar paz. Um aspecto pouco destacado da obra é sua importância para Direito: contratos, leis civis, herança, importância poder coercitivo da espada pelo Estado para manutenção da ordem e da atuação das normas jurídicas, sujeito de direito, pessoa de direito, formas de governo, soberania, liberdade e legitimidade são termos abordados e conceituados pelo livro, e muitas das suas significações permanecem de forma parcial Direito brasileiro contemporâneo, especialmente que consta Direito Estado e Direito Civil. Tais aspectos conferem ao livro um caráter perene, essencial para compreensão das instituições jurídicas históricas e atuais e ao pensamento filosófico moderno.","19 reviews
9 followers",Rating 4 out of 5,None,pt,0.174,0.648,0.178,0.204,positive
Kyle French,"I taught, somewhere around high school, Hobbes great balancing influence opposite Locke carefully constructed political philosophy US Constitution. Locke gives us concept inalienable human rights found state nature, Hobbes gives us proper horror constant state war found state nature, authority figure arbitrate ways rights one person may violate another. In words, according Hobbes, need Leviathan. One supposes Hobbes literate enough understand leviathan scripture sea monster commonly understood represent devil. My expectations little bit unrealized. Reading introduction, became clear people loved book people hate orthodox Christianity. That exaggeration. Hobbes set cast Reformational/Puritan scholastics hated experience Oxford, spent good deal time wrote book attempting prove philosophies count heresy. So I expected hate him, I expected awful way least spectacular, that's I disappointed. It turns thing Oxford Hobbes apparently hated Aristotle, appearances, Leviathan best shot overthrowing Aristotle - Aristotle. Now I'm working things first principles, Leviathan book political theory - governments made legitimate, need government, government effective. But Leviathan start government. He starts defining difference imagination perception difference dreams fantasy. From there, going, I'm sure I could tell. I can, however, give thumbnail sketch procedure, since kind enough throw start. The basic idea men (meaning people) nature artists create representational figures art. Government, I say society, nothing cooperative representation human being. Everything human accomplishes life, society accomplishes group - man made men. Therefore, determine exactly human - receives information world, adjusts makes successful - able extrapolate collections human beings do, coordinate society understand world collectively, adjust it, approach peak points culture. Immediately, I struck two points forced completely engagement book. The first assumes one key points current debate individual liberty government, society government thing. If make society government identical other, rule possibility tyranny get-go. If problem anarchy always got somebody trampling weaker neighbor, can't solve insisting parties part collective group, ruled careful administrator. It always turns 'administrator' bears striking resemblance trampl rest group bears good deal resemblance trample. Governments society ever safe infinite regression parts society come together sufficient force tell government ""no!"" really make stick. If society government, government tyranny. In case watching, tyranny generally considered bad. The thing kept sticking Hobbes really hated Aristotle. Now, I've read bit Aristotle, I really kind like him. He really lot sticking power. The renaissance modern science made pretense overthrowing long while, starting look like 500 year fad. Aristotle says drop rock, falls instead floating rocks natural resting place, that, let go, drawn resting place nature. Einstein tells us mathematical clarity nothing kind: It's bodies enormous mass cause space curve objects mass drawn them. Which really another way saying exact thing. What mass, curvature space, except ""nature""? The progress we've made understanding natural world, part amounts nothing better engineering finer precision. The basic concepts surprisingly consistent. So also Hobbes. He apparently hated Aristotle, least approach scholastics day, put great deal emphasis Aristotle. But reading Hobbes, sounds great deal like Aristotle, proceeding kinds measures. But Aristotle might made appeal classical history, clear observations world everybody familiar time, Hobbes frequently makes reference science. Now Hobbes' science may quite good, maybe even groundbreaking day. I gathered introduction many think he's early modern precursor dozens modern fields study. But truth is, poor background modern science good deal clearer cleaner thorough background 16th century science. So even first chapter, Hobbes starts making observations sense perception based nature dreams, I'm rolling eyes two different levels (which difficult thing do), clear Hobbes know he's talking terms brain processes analyses sense information, also pretty evident part he's trying prove Aristotle too. At point reading, I gave up. A book many pages hook attention convince worth time go reading. Leviathan failed that. To mix metaphors fields I experience, I felt time would better spent someone spending less effort trying knock every ball park, trying move ball yards toward goal. He probably decent ideas here, worth effort go digging original. A well-written summary could probably trick less frustration.","8 reviews
3 followers",Rating 1 out of 5,None,en,0.128,0.725,0.147,0.3215,positive
Bard Ampora,"Leviathan reason somewhat controversial lot people, especially modern times. As things philosophy, points I disagree with, also arguments hold truths make compelling cases. It kept mind written church state still one. This authored Enlightenment well separation church state. There's reason one influential philosophical works time, day still is. This book brilliantly articulated philosophy political natural science developing years. His materialist philosophy based upon mechanistic view universe, holding phenomena explainable purely terms matter motion, rejecting concepts incorporeal spirits disembodied souls. Hobbes's Leviathan also challenged basis philosophical political knowledge. It attempted create controversy philosophy, politics science. Despite that, sought ultimately annihilate controversy good . Hobbes's philosophical method claimed provide indisputable conclusions, depiction Leviathan society suggested method could put end controversy, war, fear. If thinking picking up, so. It may hard get (it beast book), form general understanding he's trying say, could enlightening. Even end disagreeing it, definitely still help shape view things that's pieces like meant do.",7 reviews,Rating 4 out of 5,None,en,0.111,0.679,0.21,0.9374,positive
Caris,"I didn’t consider rating lightly; worst review I’ve given classic philosophical work. There number reasons this: two stars would book I disagree didn’t enjoy, still appreciate influence and/or arguments. This book didn’t even deliver that. It contentious blatantly wrong assertions, either little flawed argumentation. Furthermore, despite reputation influence, nothing radical Christian theocracy 1600’s. Where Hobbes correct, parroting Plato, Aristotle, Aquinas. Where wrong, isn’t proposing anything new. A view I disagree with, could entertain, would Hobbes’ appeals Human Nature. But like classic, bourgeois philosophers, Hobbes mistakes ‘human nature’ struggles borne contemporary material conditions. On hand, view I disagree utter lack intellectual rigour Hobbes’ argument “prime mover”, taken granted straight centuries Christian tradition. His discomfort infinite regress causes leads conclude must first cause, cause must ‘god’ contain, conveniently, qualities Christian god. He provides argument demonstration necessity this. His political ideas derive vapid lazy assumptions. There may certain details work ‘new’ time, ultimately, I care far whether ideas stand today, whether impressive people time, Western liberals today – neither high standards radical thought.","16 reviews
4 followers",Rating 1 out of 5,None,en,0.059,0.779,0.162,0.9534,positive
Gina,"One reason I read many political philosophers find agency individuality great harms, I heard case Hobbes, may another work. Its system set everyone alike roles strictly defined -- come up. Instead, mainly logic subject kings. While would easy disagree, I cannot separate conclusion time period, England deposed king gone Cromwell Lord Protector, restored monarchy. Hobbes close Charles II; else would make sense him? The thing surprised appears accusations atheism real danger Hobbes, yet book based much scripture assumes God self-evident. I assume applies critical thought think religion, could seemed dangerous. The conclusion ends correct follow king, even error. It pretty critical Catholicism, likening superstitious beliefs fairies ghosts, pretty safe England. As much I disagree various conclusions, I impressed clearly deeply thinks everything. The biographical material indicated common people hate (or least greatly frustrated with) Hobbes philosopher love person. I see that.","Author 
5 books
21 followers",Rating 3 out of 5,None,en,0.025,0.841,0.134,0.9127,positive
,,,,,,0.103,0.71,0.186,0.9217,positive
Barak,"Some book interesting enough, especially like Hobbes one reactionary royalist. Ironically, views got trouble Parliamentarians (before publishing book) flee stay France prior English Civil War (1642–1651), published book received quite coldly (who became be) Charles Second, even mind understanding book fully supportive latter's right rule (which comes show kings complete idiots). Some things I liked book Hobbes formulation Newton's first law somewhere start also fact someone may well disagree Hobbes' views, one cannot deny internal logic consistency (which Hobbes sadly lost later life.) I also liked direct confrontation Academia Church/Religion. What I particularly enjoy long arduous legalese-like treatment rights, duties, punishments etc; I also find treatment God's laws role last chapter genuine, lip service detract blaming Atheist (which I reckon was.) Lastly, accepting general critique universities day, I strongly object idea turning pedagogic tool service king country educating masses uphold existing regime. (basically, make book curriculum...)","373 reviews
5 followers",Rating 3 out of 5,None,en,0.1,0.678,0.222,0.9501,positive
Xeni,"It wisdom Authority makes law. ""Leviathan"" Thomas Hobbes 1651 far complex, controversial book day one important Western philosophies relation politics. I liked reference sea monster biblical reference, whose omnipotence human resistance fails - fascinating metaphor state human state structure. makes sense philosopher 17th century, son country pastor, work closely religion combine understanding state structure it. state Hobbes creates man, natural state far law state, releases almost anarchist thinking, man would probably act, would good bad would motives? Hobbes concludes quite logically man's instinct self-preservation natural state, bad, interested survival. definitely approved. many confused readers like classify social darwinist ideologies, think inadequate conclusion people use philosophy instrumentalize science use establish kind social darwinism. Hobbes introduces us readers radical autonomous ego, which, based principle thinking, line Marx's philosophy community ideology. Despite everything product time, religion belief knowing, apart incredibly dry fight words.",142 reviews,Rating 3 out of 5,None,en,0.062,0.717,0.221,0.9732,positive
Alin Ierima,"Who else would terrifying Leviathan be, institution state itself? Why would humans adhere covenant (not social contract, late philosophers Rousseau Locke would say) state rules using fear multitude restrictions natural freedom people? As Hobbes would say, natural state humankind way scarier: state anarchy, war ""every man every man"" ensures painful, brutish short life. I recommend anyone interested book read open mind, keep mind historical context book written; lot ideas presented seen borderline heretical revolutionary contemporaries. But, gradually, theories influenced western philosophers thinkers way, today lot Hobbes' notions became component part today's way seeing world politology. I say I totally agree Hobbes' way seeing world. But matters little discussing influential book. It hard read due old English, impressive book nevertheless. ""A commonwealth said instituted, multitude men agree covenant, every one every one, whatsoever man assembly men shall given major part, right present person all, well voted voted it, shall autorize actions judgements man assembly men.""","19 reviews
5 followers",Rating 3 out of 5,None,en,0.196,0.63,0.174,-0.5664,negative
Mike Bloom,"I going skip summarizing philosophical content book, already adequately presented reviewers. Though was, end day, worthwhile endeavor, took real effort read book (600 page) entirety. There many passages profoundly insightful beautifully written. Overall, however, style difficult. There times necessary (at least me) breakdown paragraph way one might breakdown mathematical equation. Hobbes thorough carefully defining terms. He presents arguments ground up, meticulously but, sometimes, tediously. He offers various immutable truths people keep mind today (e.g. man judge cause). Half book, literally, deals Ecclesiastical government. Hobbes challenges papal authority contrasting church doctrine actual scriptural text supposedly underlies it. Many today profess views American government based perceive ""intent"" framers Constitution. Well, people like John Adams studied ""Leviathan"" books. If Americans want understand Founding Fathers actually believed structure government, should, IMHO, take time read books one.","221 reviews
3 followers",Rating 4 out of 5,None,en,0.081,0.671,0.249,0.9839,positive
Adrián Cruz,"After longful exhausting reading IR classic, Hobbes managed nod head several occasion, also rustled jimmies part three. Being widely debated IR scholars due blunt approach define state nature, human nature, commonwealth (the state) shall functioning clear, namely humans intrinsically selfish - including altruistic acts generosity, conditioned feeling superiority need - hot topic. And whoever believe stop locking door night. The state punish defect disobey common law keep obey safe prosperous. Signing social contract higher authority/state thus inevitable ensure survival collective entity called humanity. Some ideas antiquated useful today's society. He thinks free speech nonsense allows dissidents discredit ruler convince others follow suit, may cause instability. ""Law nations law nature same"" another archaic thoughts mentioned part three (200 pages) basically importance Christianity vis-a-vis state God 'giveth' reason everything. Funny thing reading got somehow used Shakespearian language I think I going get wooden sword, fedora, find bunch neckbeards would willing fight majesty.","57 reviews
1 follower",Rating 3 out of 5,None,en,0.026,0.804,0.17,0.9574,positive
Hugolane,"I sure I say anything great originality book, I read it. I grateful additional materials included think Hobbes understand contemporaries thought argument. I confess, I convinced Hobbes's argument state war everyone imagines original state man. As common era, bound Biblical emphasis singular human origin, belief humans enter pre-existing system. In fact, I found ironic Edward Hyde noted God would create world humans criticism Hobbes. That said, I see grateful Hobbes stumbles idea human right exist peace, comes assumption. Beyond surprised most, I ever heard, see Hobbes leaves open possibility sovereign also parliamentary body, perhaps wise move man decided return Britain Cromwell, nonetheless, important opening allows us use Hobbes Leviathan think modern state, order may determined one arbiter state complexity anonymity helps maintain order prevent, war everybody everyone, descent political order one's proximity power impinges right equality law.",211 reviews,Rating 5 out of 5,None,en,0.144,0.666,0.19,0.7127,positive
Ricardo,"This edition Leviathan contains first two (of four) books make Leviathan. An Editor's choice due fact last two books mostly focused religion specific context Hobbes' contemporary century. Given that, opinion based solely first two chapters Leviathan. In first chapter Hobbes analyses/evaluates Man terms behavior, ideas, fears, etc basically summarizes following: man, free restraints basic Nature state, equal free suits ensure welfare. Thus, Nature, Man's normal state constant war ensure liberty safety. Thus, comes second chapter book Hobbes details Commonwealth. Clearly influenced time, specifically civil war England. Hobbes describes Commonwealth social contract sovereign (which single individual assembly individuals) selected subjects, power placed upon sovereign ensure safety welfare subjects. Hobbes goes detailing contract works (what responsibilities, powers limitations it) parties, well showing sovereign removed ""breach contract"" A book read mind conclusions strongly linked Hobbes contemporary society. Transposing directly current days, produces value.",197 reviews,Rating 3 out of 5,None,en,0.0,1.0,0.0,0.0,neutral
Lingling,"Thomas Hobbes, Power Peace using scientific method (political science). Hobbes活了92岁经历了17世纪英国动荡的政权，作为一个政治学家也是挺牛的。The grand conclusion Hobbes’s analysis human nature men necessarily engaged incessant struggle power others (about man’s necessarily competitive search power).Hobbes认为人对死亡的恐惧是不言自明的。“Every man…shuns evil, chiefly chiefest natural evils, death; doth, certain impulsion nature, less whereby stone moves downwards.” Hobbes提出的主权社会其实本质上是资本主义社会，虽然他认为内战的罪魁祸首是新兴的资产阶级，而他的理想主权国家的最终目的是避免内战。Macpherson认为Hobbes对平等的执念阻止了他认清阶层分化和资产阶级作为一个阶层凝聚力的必然性。Hobbes认为个体对权利的竞争本性使得他们愿意诚服于主权社会/政府，从而获得对个人财产和安全的保护。 三百多年前的英语读起来比想象的容易一些，很多词拼法不同但很好猜，有些稍微难点，但多读几遍也猜出来了。比如Trayne train，perswasion persuasion. 当然也有些要查字典才知道啥意思（比如hearkened，devest）。后来听了另一本书才知道16世纪的英语已经是modern English了(from 400s 1066 Old English, 1066 1400s Middle English, 1400s onwards Modern English). 总体来说很枯燥，很多定义啥的（关于法律，联邦，基督教联邦，基督教教义等等）。本书在历史上的重要性并非仅仅源于结论（反对君权神授，主张专制主权国家）而是方法（首次把政治提升到科学的高度，从个体推论到政权）。 “Adherence Custome, ignorance nature Right Wrong…Which cause, doctrine Right Wrong, perpetually disputed, Pen Sword: whereas doctrines Lines, Figures, so; men care not, subject truth, thing crosses mans ambition, profit, lust.”",143 reviews,Rating 4 out of 5,None,en,0.182,0.639,0.179,0.128,positive
Elisa,"This breakthrough masterpiece political philosophy arena, reading much fun reading encyclopedia way. It's easy appreciate amount scope far-reaching depth work, well genius man wrote it. Hobbes greatest democrat liberal (to put mildly), ideas sociopolitical nature needs humans accurate anyone cynical (realistic?) view ever set forth. Hobbes's basic tenet is: without rules sovereign power (whether monarchical democratic) enforce rules, would running around chopping heads off. If history taught us anything, Hobbes telling like always been. Of course, goes extremes sovereign ass-kissing department, also man time. The second part Leviathan deals religion, eviscerates Church Pope. It's entertaining bit even adds little humor there. Among things surprised me, thought pretending eat body blood Christ ridiculous, soul inseparable body, things heaven hell, let alone purgatory. For Hobbes, civil power supreme, power king derived much power, obedience people show him. Hard argue that. A bright man, Hobbes, one I'm glad I appreciate even I agree everything wrote.","445 reviews
56 followers",Rating 3 out of 5,None,en,0.101,0.67,0.229,0.9559,positive
Timo,"Read part revisiting historical philosophy... I'm always sure make Hobbes. There times I feel like playing sides. Atheist? Not atheist? Royalist? Not royalist? He certainly embroiled middle discussions community time. And maybe view Hobbes. He determinist (though soft-determinist), meaning disbelieved free will. And maybe acknowledging views mere products time place lived. Though I think arrives Social Contract theory tad dishonestly, I exactly believe saying, commonly said, life ""solitary, poore, nasty, brutish, short."" I think dramatizing potential life outside protection community. And certain ways, even wholly accurate historical perspective, I think there's something said foundational needs community ground one's life. But end, I think Hobbes tried cute, dance much within controversies time. And makes value less might be. I faith foundational principles ideas, thus mostly view important history, important philosophy.","103 reviews
4 followers",Rating 3 out of 5,None,en,0.283,0.616,0.102,-0.9755,negative
Patrik Sahlstrøm,"Ugh, reading painfull. The text extremly dense pedantic. It gives interesting insight intellectial elite time Hobbes thinking arguing, pretty. Hobbes intention twofold, firstly prove everyone's duty obey whoever power, secondly nasty Pope catholic church is. The second part better first. The problem Hobbe's philosophy puts cart front horse. Instead starting definitions exploring logically deduced definitions, instead starts position ""you always obey sovereign"" works backwards prove so. I'm going waste time energy refuting Hobbes, done eloquently I ever able to, obvious text mostly written promote standing curry favour sought employment from. If nothing else gives brilliant insight kind intellectual discourse going time, deeply flawed was. If Hobbes part curriculum favour skip original texts go read commentaries instead.","Author 
6 books
11 followers",Rating 2 out of 5,None,en,0.0,0.79,0.21,0.967,positive
Cihan Deniz,"Değerli bir kitabın başarılı bir çevirisidir. Öncelikle Semih Lim'i tebrik ediyorum. Kişiye birçok açıdan katkı sağlayacak bir metin olması sebebiyle açık fikirlilikle okunmasını tavsiye ederim. Bu açılardan iki tanesi şöyle ki; Bir argüman nasıl inşa edilir konusunda bir ders kitabı diyebilirim. Biçim itibariyle etkilenmemek elde değil. Politik kıvraklık nedir nasıl kullanılır konusunda yine çok başarılı. Kralının meşruluğunu sağlarken, Hristiyanlara Hristiyanlığa saygısızlık etmeden Papa'yı Kilise'yi harika eleştirmiş, hatta bildirmeye girişmiş. Bu girişim hemen sonuç verdi mi tarihsel olarak bilmiyorum ama bugüne baktığımda sonuç verdiğini görüyorum. Mutlak otoriteyi eleştirmek isteyen varsa buradan pekala ders alabilir. Beğenmediğim bir yanı da şudur; sanki sıfırdan başlayarak inşa ettiği devlet hukuk sistemi vardığı bir doğal sonuç değil de, zaten en baştan varmak istediği sonuç. Yani sıfırdan çıkarım yapıyor ya da bir dünya inşa ediyor gibi görünse de, niyeti zaten doğru olduğunu düşündüğü şeyi savunmak ya da meşrulaştırmak gibi geldi. Bu bağlamda yazar benim gözümde bir filozof olmaktan çok bir siyasetçi oldu. Sonuç olarak bu kitap, içinde yaşadığımız dönemi anlayabilmek için okunması gereken önemli bir eserdir.",51 reviews,Rating 4 out of 5,None,tr,0.066,0.751,0.183,0.9121,positive
